Match info: 392204.yaml
['Royal Challengers Bangalore', 'Kings XI Punjab']
RR Powar {'total runs given': 134, 'batsman matches played': 2, 'total wickets': 4, 'bowler matches played': 7, 'total balls': 28, 'total runs': 34, 'bowler balls': 101}
HH Gibbs {'total runs given': 0, 'batsman matches played': 9, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 159, 'total runs': 167, 'bowler balls': 0}
AC Gilchrist {'total runs given': 0, 'batsman matches played': 14, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 328, 'total runs': 436, 'bowler balls': 0}
A Symonds {'total runs given': 106, 'batsman matches played': 3, 'total wickets': 0, 'bowler matches played': 3, 'total balls': 111, 'total runs': 161, 'bowler balls': 44}
RG Sharma {'total runs given': 26, 'batsman matches played': 12, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 276, 'total runs': 404, 'bowler balls': 25}
DB Ravi Teja {'total runs given': 19, 'batsman matches played': 6, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 85, 'total runs': 109, 'bowler balls': 12}
TL Suman {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
RP Singh {'total runs given': 459, 'batsman matches played': 9, 'total wickets': 15, 'bowler matches played': 14, 'total balls': 25, 'total runs': 27, 'bowler balls': 325}
Y Venugopal Rao {'total runs given': 137, 'batsman matches played': 10, 'total wickets': 2, 'bowler matches played': 7, 'total balls': 217, 'total runs': 288, 'bowler balls': 88}
RJ Harris {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
Jaskaran Singh {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
PP Ojha {'total runs given': 299, 'batsman matches played': 3, 'total wickets': 11, 'bowler matches played': 12, 'total balls': 4, 'total runs': 2, 'bowler balls': 236}

Match info: 392231.yaml
['Chennai Super Kings', 'Kolkata Knight Riders']
GJ Bailey {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
PA Patel {'total runs given': 0, 'batsman matches played': 13, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 315, 'total runs': 302, 'bowler balls': 0}
SK Raina {'total runs given': 30, 'batsman matches played': 14, 'total wickets': 1, 'bowler matches played': 2, 'total balls': 304, 'total runs': 421, 'bowler balls': 20}
MS Dhoni {'total runs given': 0, 'batsman matches played': 14, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 319, 'total runs': 414, 'bowler balls': 0}
JA Morkel {'total runs given': 414, 'batsman matches played': 10, 'total wickets': 17, 'bowler matches played': 13, 'total balls': 168, 'total runs': 241, 'bowler balls': 309}
S Tyagi {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
M Muralitharan {'total runs given': 416, 'batsman matches played': 1, 'total wickets': 11, 'bowler matches played': 15, 'total balls': 3, 'total runs': 0, 'bowler balls': 369}
SB Jakati {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
L Balaji {'total runs given': 293, 'batsman matches played': 1, 'total wickets': 11, 'bowler matches played': 9, 'total balls': 5, 'total runs': 0, 'bowler balls': 205}
BB McCullum {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 96, 'total runs': 188, 'bowler balls': 0}
SC Ganguly {'total runs given': 132, 'batsman matches played': 13, 'total wickets': 6, 'bowler matches played': 7, 'total balls': 324, 'total runs': 349, 'bowler balls': 121}
BJ Hodge {'total runs given': 0, 'batsman matches played': 3, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 18, 'total runs': 12, 'bowler balls': 0}
WP Saha {'total runs given': 0, 'batsman matches played': 10, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 119, 'total runs': 159, 'bowler balls': 0}
DJ Hussey {'total runs given': 134, 'batsman matches played': 13, 'total wickets': 2, 'bowler matches played': 5, 'total balls': 267, 'total runs': 319, 'bowler balls': 79}
AB Dinda {'total runs given': 266, 'batsman matches played': 2, 'total wickets': 9, 'bowler matches played': 12, 'total balls': 4, 'total runs': 2, 'bowler balls': 245}
Anureet Singh {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
AB Agarkar {'total runs given': 211, 'batsman matches played': 6, 'total wickets': 8, 'bowler matches played': 9, 'total balls': 49, 'total runs': 54, 'bowler balls': 168}
M Kartik {'total runs given': 132, 'batsman matches played': 3, 'total wickets': 3, 'bowler matches played': 5, 'total balls': 28, 'total runs': 30, 'bowler balls': 89}
BAW Mendis {'total runs given': 24, 'batsman matches played': 0, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 0, 'total runs': 0, 'bowler balls': 24}

Match info: 392182.yaml
['Royal Challengers Bangalore', 'Rajasthan Royals']
KP Pietersen {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
RV Uthappa {'total runs given': 0, 'batsman matches played': 15, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 308, 'total runs': 339, 'bowler balls': 0}
R Dravid {'total runs given': 0, 'batsman matches played': 14, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 299, 'total runs': 371, 'bowler balls': 0}
V Kohli {'total runs given': 62, 'batsman matches played': 13, 'total wickets': 2, 'bowler matches played': 4, 'total balls': 182, 'total runs': 181, 'bowler balls': 49}
P Kumar {'total runs given': 403, 'batsman matches played': 13, 'total wickets': 13, 'bowler matches played': 14, 'total balls': 107, 'total runs': 121, 'bowler balls': 301}
JD Ryder {'total runs given': 25, 'batsman matches played': 1, 'total wickets': 0, 'bowler matches played': 1, 'total balls': 5, 'total runs': 2, 'bowler balls': 24}
B Akhil {'total runs given': 138, 'batsman matches played': 7, 'total wickets': 2, 'bowler matches played': 6, 'total balls': 32, 'total runs': 46, 'bowler balls': 105}
R Vinay Kumar {'total runs given': 183, 'batsman matches played': 4, 'total wickets': 5, 'bowler matches played': 8, 'total balls': 28, 'total runs': 25, 'bowler balls': 141}
LRPL Taylor {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 85, 'total runs': 149, 'bowler balls': 0}
DW Steyn {'total runs given': 265, 'batsman matches played': 2, 'total wickets': 10, 'bowler matches played': 10, 'total balls': 5, 'total runs': 2, 'bowler balls': 247}
A Kumble {'total runs given': 339, 'batsman matches played': 5, 'total wickets': 9, 'bowler matches played': 11, 'total balls': 21, 'total runs': 14, 'bowler balls': 260}
SA Asnodkar {'total runs given': 0, 'batsman matches played': 9, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 241, 'total runs': 311, 'bowler balls': 0}
Niraj Patel {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 83, 'total runs': 103, 'bowler balls': 0}
GC Smith {'total runs given': 0, 'batsman matches played': 12, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 418, 'total runs': 518, 'bowler balls': 0}
T Henderson {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
YK Pathan {'total runs given': 263, 'batsman matches played': 16, 'total wickets': 9, 'bowler matches played': 14, 'total balls': 260, 'total runs': 447, 'bowler balls': 194}
RA Jadeja {'total runs given': 27, 'batsman matches played': 10, 'total wickets': 0, 'bowler matches played': 3, 'total balls': 120, 'total runs': 168, 'bowler balls': 19}
SK Warne {'total runs given': 447, 'batsman matches played': 7, 'total wickets': 21, 'bowler matches played': 16, 'total balls': 60, 'total runs': 70, 'bowler balls': 339}
M Rawat {'total runs given': 0, 'batsman matches played': 7, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 39, 'total runs': 34, 'bowler balls': 0}
Kamran Khan {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
AD Mascarenhas {'total runs given': 31, 'batsman matches played': 1, 'total wickets': 2, 'bowler matches played': 1, 'total balls': 8, 'total runs': 9, 'bowler balls': 25}
MM Patel {'total runs given': 423, 'batsman matches played': 1, 'total wickets': 14, 'bowler matches played': 15, 'total balls': 1, 'total runs': 0, 'bowler balls': 336}

Match info: 392239.yaml
['Royal Challengers Bangalore', 'Deccan Chargers']
TL Suman {'total runs given': 23, 'batsman matches played': 1, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 1, 'total runs': 0, 'bowler balls': 25}
HH Gibbs {'total runs given': 0, 'batsman matches played': 10, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 196, 'total runs': 193, 'bowler balls': 0}
A Symonds {'total runs given': 116, 'batsman matches played': 4, 'total wickets': 1, 'bowler matches played': 4, 'total balls': 137, 'total runs': 186, 'bowler balls': 57}
RG Sharma {'total runs given': 49, 'batsman matches played': 13, 'total wickets': 1, 'bowler matches played': 2, 'total balls': 303, 'total runs': 446, 'bowler balls': 37}
AA Bilakhia {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
AC Gilchrist {'total runs given': 0, 'batsman matches played': 15, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 341, 'total runs': 459, 'bowler balls': 0}
RJ Harris {'total runs given': 31, 'batsman matches played': 1, 'total wickets': 0, 'bowler matches played': 1, 'total balls': 2, 'total runs': 2, 'bowler balls': 26}
Y Venugopal Rao {'total runs given': 145, 'batsman matches played': 11, 'total wickets': 3, 'bowler matches played': 8, 'total balls': 218, 'total runs': 288, 'bowler balls': 100}
RP Singh {'total runs given': 486, 'batsman matches played': 10, 'total wickets': 18, 'bowler matches played': 15, 'total balls': 27, 'total runs': 27, 'bowler balls': 351}
PP Ojha {'total runs given': 311, 'batsman matches played': 3, 'total wickets': 11, 'bowler matches played': 13, 'total balls': 4, 'total runs': 2, 'bowler balls': 248}
Harmeet Singh {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
MK Pandey {'total runs given': 0, 'batsman matches played': 2, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 10, 'total runs': 3, 'bowler balls': 0}
JH Kallis {'total runs given': 341, 'batsman matches played': 12, 'total wickets': 4, 'bowler matches played': 12, 'total balls': 212, 'total runs': 226, 'bowler balls': 229}
RE van der Merwe {'total runs given': 27, 'batsman matches played': 1, 'total wickets': 2, 'bowler matches played': 1, 'total balls': 19, 'total runs': 35, 'bowler balls': 19}
R Dravid {'total runs given': 0, 'batsman matches played': 15, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 349, 'total runs': 437, 'bowler balls': 0}
LRPL Taylor {'total runs given': 0, 'batsman matches played': 5, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 86, 'total runs': 149, 'bowler balls': 0}
MV Boucher {'total runs given': 0, 'batsman matches played': 11, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 185, 'total runs': 227, 'bowler balls': 0}
P Kumar {'total runs given': 410, 'batsman matches played': 14, 'total wickets': 15, 'bowler matches played': 15, 'total balls': 117, 'total runs': 129, 'bowler balls': 322}
RV Uthappa {'total runs given': 0, 'batsman matches played': 16, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 318, 'total runs': 342, 'bowler balls': 0}
R Vinay Kumar {'total runs given': 208, 'batsman matches played': 5, 'total wickets': 5, 'bowler matches played': 9, 'total balls': 30, 'total runs': 33, 'bowler balls': 160}
V Kohli {'total runs given': 62, 'batsman matches played': 14, 'total wickets': 2, 'bowler matches played': 4, 'total balls': 190, 'total runs': 184, 'bowler balls': 49}
A Kumble {'total runs given': 345, 'batsman matches played': 5, 'total wickets': 14, 'bowler matches played': 12, 'total balls': 21, 'total runs': 14, 'bowler balls': 279}

Match info: 392206.yaml
['Chennai Super Kings', 'Delhi Daredevils']
ML Hayden {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 135, 'total runs': 189, 'bowler balls': 0}
M Vijay {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
SK Raina {'total runs given': 55, 'batsman matches played': 15, 'total wickets': 1, 'bowler matches played': 3, 'total balls': 342, 'total runs': 473, 'bowler balls': 38}
S Badrinath {'total runs given': 0, 'batsman matches played': 11, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 138, 'total runs': 192, 'bowler balls': 0}
JA Morkel {'total runs given': 453, 'batsman matches played': 11, 'total wickets': 17, 'bowler matches played': 14, 'total balls': 179, 'total runs': 262, 'bowler balls': 328}
MS Dhoni {'total runs given': 0, 'batsman matches played': 15, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 349, 'total runs': 454, 'bowler balls': 0}
JDP Oram {'total runs given': 149, 'batsman matches played': 2, 'total wickets': 3, 'bowler matches played': 4, 'total balls': 13, 'total runs': 18, 'bowler balls': 100}
SB Jakati {'total runs given': 40, 'batsman matches played': 0, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 0, 'total runs': 0, 'bowler balls': 24}
L Balaji {'total runs given': 333, 'batsman matches played': 1, 'total wickets': 11, 'bowler matches played': 10, 'total balls': 5, 'total runs': 0, 'bowler balls': 223}
M Muralitharan {'total runs given': 432, 'batsman matches played': 1, 'total wickets': 12, 'bowler matches played': 16, 'total balls': 3, 'total runs': 0, 'bowler balls': 393}
S Tyagi {'total runs given': 29, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 1, 'total balls': 0, 'total runs': 0, 'bowler balls': 18}
G Gambhir {'total runs given': 0, 'batsman matches played': 14, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 394, 'total runs': 534, 'bowler balls': 0}
DA Warner {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
TM Dilshan {'total runs given': 3, 'batsman matches played': 7, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 79, 'total runs': 104, 'bowler balls': 6}
KD Karthik {'total runs given': 0, 'batsman matches played': 8, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 108, 'total runs': 145, 'bowler balls': 0}
R Bhatia {'total runs given': 185, 'batsman matches played': 3, 'total wickets': 6, 'bowler matches played': 9, 'total balls': 28, 'total runs': 34, 'bowler balls': 134}
PJ Sangwan {'total runs given': 221, 'batsman matches played': 2, 'total wickets': 5, 'bowler matches played': 7, 'total balls': 5, 'total runs': 2, 'bowler balls': 155}
A Mishra {'total runs given': 140, 'batsman matches played': 3, 'total wickets': 11, 'bowler matches played': 6, 'total balls': 42, 'total runs': 37, 'bowler balls': 123}
M Manhas {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
AB de Villiers {'total runs given': 0, 'batsman matches played': 6, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 100, 'total runs': 95, 'bowler balls': 0}
A Nehra {'total runs given': 357, 'batsman matches played': 3, 'total wickets': 12, 'bowler matches played': 14, 'total balls': 13, 'total runs': 3, 'bowler balls': 280}
DP Nannes {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}

Match info: 392212.yaml
['Deccan Chargers', 'Mumbai Indians']
AC Gilchrist {'total runs given': 0, 'batsman matches played': 16, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 344, 'total runs': 459, 'bowler balls': 0}
HH Gibbs {'total runs given': 0, 'batsman matches played': 11, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 247, 'total runs': 246, 'bowler balls': 0}
TL Suman {'total runs given': 23, 'batsman matches played': 2, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 13, 'total runs': 10, 'bowler balls': 25}
RG Sharma {'total runs given': 58, 'batsman matches played': 14, 'total wickets': 1, 'bowler matches played': 3, 'total balls': 327, 'total runs': 470, 'bowler balls': 43}
DR Smith {'total runs given': 83, 'batsman matches played': 3, 'total wickets': 5, 'bowler matches played': 4, 'total balls': 41, 'total runs': 45, 'bowler balls': 69}
Y Venugopal Rao {'total runs given': 145, 'batsman matches played': 12, 'total wickets': 3, 'bowler matches played': 8, 'total balls': 220, 'total runs': 288, 'bowler balls': 100}
DB Ravi Teja {'total runs given': 19, 'batsman matches played': 7, 'total wickets': 1, 'bowler matches played': 1, 'total balls': 100, 'total runs': 119, 'bowler balls': 12}
RJ Harris {'total runs given': 67, 'batsman matches played': 2, 'total wickets': 1, 'bowler matches played': 2, 'total balls': 7, 'total runs': 11, 'bowler balls': 51}
RP Singh {'total runs given': 507, 'batsman matches played': 10, 'total wickets': 19, 'bowler matches played': 16, 'total balls': 27, 'total runs': 27, 'bowler balls': 375}
Harmeet Singh {'total runs given': 24, 'batsman matches played': 0, 'total wickets': 2, 'bowler matches played': 1, 'total balls': 0, 'total runs': 0, 'bowler balls': 24}
Shoaib Ahmed {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
ST Jayasuriya {'total runs given': 163, 'batsman matches played': 14, 'total wickets': 4, 'bowler matches played': 8, 'total balls': 333, 'total runs': 514, 'bowler balls': 127}
JP Duminy {'total runs given': 0, 'batsman matches played': 0, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 0, 'total runs': 0, 'bowler balls': 0}
PR Shah {'total runs given': 0, 'batsman matches played': 4, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 37, 'total runs': 34, 'bowler balls': 0}
SR Tendulkar {'total runs given': 0, 'batsman matches played': 7, 'total wickets': 0, 'bowler matches played': 0, 'total balls': 189, 'total runs': 188, 'bowler balls': 0}
DJ Bravo {'total runs given': 239, 'batsman matches played': 7, 'total wickets': 11, 'bowler matches played': 9, 'total balls': 137, 'total runs': 178, 'bowler balls': 181}
DS Kulkarni {'total runs given': 242, 'batsman matches played': 1, 'total wickets': 11, 'bowler matches played': 10, 'total balls': 17, 'total runs': 2, 'bowler balls': 193}
RR Raje {'total runs given': 142, 'batsman matches played': 3, 'total wickets': 5, 'bowler matches played': 6, 'total balls': 9, 'total runs': 8, 'bowler balls': 102}
AM Nayar {'total runs given': 69, 'batsman matches played': 10, 'total wickets': 1, 'bowler matches played': 5, 'total balls': 142, 'total runs': 206, 'bowler balls': 43}
